순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
1,국내도서,만능 양념장 레시피,37469228,9.78897E+12,13590,이현주.장성록 지음,경향미디어,20140303,"9,500","8,550",470점,20179,요리/살림
2,국내도서,기록,39844245,9.79119E+12,3810,"윤태영 지음, 노무현재단 기획",책담,20140423,"15,000","13,500",750점,2821,사회과학
3,국내도서,미 비포 유,35029230,9.78895E+12,3690,"조조 모예스 지음, 김선형 옮김",살림,20131224,"15,000","13,500",750점,21075,소설/시/희곡
4,국내도서,청춘의 문장들+,40749508,9.78896E+12,3810,"김연수 지음, 금정연 대담",마음산책,20140509,"8,500","7,650",420점,3728,에세이
5,국내도서,[세트] 청춘의 문장들 + 청춘의 문장들+ - 전2권,41004835,,3810,"김연수 지음, 금정연 대담",마음산책,20040425,"19,500","17,550",970점,326,에세이
6,국내도서,1만 시간의 법칙,6510869,9.78896E+12,13320,이상훈 지음,위즈덤하우스,20100303,"15,000","13,500",750점,11959,자기계발
7,국내도서,지랄발랄 하은맘의 닥치고 군대 육아,40737889,9.78893E+12,13370,김선미 지음,알에이치코리아(RHK),20140516,"13,000","11,700",650점,4229,좋은부모
8,국내도서,2014 제5회 젊은작가상 수상작품집,39965208,9.78895E+12,3810,황정은 외 지음,문학동네,20140423,"14,000","12,600",700점,3657,소설/시/희곡
9,국내도서,나의 문화유산답사기 일본편 3,40056006,9.78894E+12,3810,유홍준 지음,창비,20140515,"18,000","16,200",180점,5647,인문학
10,국내도서,몽환화,40316284,9.79119E+12,3830,"히가시노 게이고 지음, 민경욱 옮김",비채,20140515,"13,800","12,420",690점,4083,소설/시/희곡
11,국내도서,내가 사랑한 유럽 TOP10,34710682,9.78897E+12,13810,"정여울 지음, 대한항공 여행사진 공모전 당선작 외 사진",홍익,20140115,"15,800","14,220",790점,14157,여행
12,국내도서,난쟁이 피터,37854651,9.78895E+12,13320,"호아킴 데 포사다.데이비드 S. 림 지음, 최승언 옮김",마시멜로,20140330,"14,000","12,600",700점,5995,에세이
