Rank,BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category,Sorce
322.0,민병철 생활영어 1,,54947,민병철,False,기타 출판사,1979-10-01,5500,4950,177.0,외국어,2001년1월3주
767.0,행복에의 초대,,168173,IVP(한국기독학생회출판부) 편집부,False,기타 출판사,1979-12-01,2800,2660,1960.0,종교/역학,2005년2월1주
449.0,훈련으로 되는 제자,,458277,월터 A. 헨릭슨,False,기타 출판사,1980-12-01,4500,4050,552.0,종교/역학,2005년2월1주
490.0,전태일 평전,,128759,조영래,False,돌베개,1983-06-01,6000,6000,409.0,사회과학,2001년1월3주
300.0,제자의 삶,,131488,프랜시스 M.코스그로브,False,기타 출판사,1984-07-01,12000,12000,1110.0,종교/역학,2005년2월1주
377.0,건강도인술,,6225,하야시마 마사오,True,기타 출판사,1986-05-01,12000,10800,383.0,건강/취미,2002년8월3주
934.0,이방인,,116800,알베르 카뮈,True,기타 출판사,1987-12-01,9000,8100,4489.0,소설/시/희곡,2002년8월3주
101.0,삼국지 제2권,,193240,나관중,True,민음사,1988-05-01,7000,6300,1175.0,소설/시/희곡,2001년1월3주
80.0,삼국지 제10권,,193241,나관중,True,민음사,1988-05-01,7000,6300,1383.0,소설/시/희곡,2001년1월3주
783.0,기독교는 믿을 만한가?,,253018,케네스 테일러,False,기타 출판사,1988-05-01,600,540,207.0,종교/역학,2005년2월1주
102.0,삼국지 제1권,,72182,나관중,True,민음사,1988-05-01,7000,6300,1125.0,소설/시/희곡,2001년1월3주
104.0,삼국지 제3권,,72183,나관중,True,민음사,1988-05-01,7000,6300,1215.0,소설/시/희곡,2001년1월3주
83.0,삼국지 제4권,,72185,나관중,True,민음사,1988-05-01,7000,6300,1262.0,소설/시/희곡,2001년1월3주
82.0,삼국지 제5권,,72187,나관중,True,민음사,1988-05-01,7000,6300,1281.0,소설/시/희곡,2001년1월3주
76.0,삼국지 제6권,,72188,나관중,True,민음사,1988-05-01,7000,6300,1327.0,소설/시/희곡,2001년1월3주
77.0,삼국지 제7권,,72189,나관중,True,민음사,1988-05-01,7000,6300,1342.0,소설/시/희곡,2001년1월3주
69.0,삼국지 제8권,,72190,나관중,True,민음사,1988-05-01,7000,6300,1365.0,소설/시/희곡,2001년1월3주
58.0,삼국지 제9권,,72191,나관중,True,민음사,1988-05-01,7000,6300,1390.0,소설/시/희곡,2001년1월3주
769.0,기독교강요 -상,,23073,죤 칼빈,False,기타 출판사,1988-09-01,32000,28800,495.0,종교/역학,2001년1월3주
650.0,태백산맥 8,,190192,조정래,False,해냄,1988-10-01,6800,6120,402.0,소설/시/희곡,2001년1월3주
156.0,일대일 제자양육 성경공부,,120332,두란노 편집부,False,두란노,1988-12-01,6500,5850,461.0,종교/역학,2001년1월3주
888.0,그리스와 로마의 신화,,20647,토마스 불핀치,True,기타 출판사,1989-03-01,6500,5850,433.0,인문학,2001년1월3주
743.0,심전도 속성 판독법,,92054,한국심장질환연구소,False,기타 출판사,1989-05-01,12000,12000,123.0,대학교재/전문서적,2002년8월3주
922.0,입 속의 검은 잎,,122785,기형도,False,문학과지성사,1989-05-30,12000,10800,24086.0,소설/시/희곡,2021년6월1주
698.0,태백산맥 9,,190194,조정래,False,해냄,1989-10-01,6800,6120,380.0,소설/시/희곡,2001년1월3주
778.0,태백산맥 10,,190195,조정래,False,해냄,1989-10-01,6800,6120,383.0,소설/시/희곡,2001년1월3주
811.0,철학의 기초이론,,142276,백산서당 편집부,False,기타 출판사,1990-06-01,6000,5700,534.0,대학교재/전문서적,2005년2월1주
