ItemId,quality,store,price
1000152,2,26,7300
1000152,2,16,7400
1000152,2,25,7400
1000152,3,41,7700
1000152,3,16,7700
1000152,3,16,7700
1000152,2,26,7700
1000152,2,3,7400
1000152,2,24,7400
1000152,2,3,7400
1000152,2,24,7400
1000152,2,28,7400
1000152,2,6,7400
1000152,2,16,7400
1000152,2,26,7400
101158454,2,29,8700
101158454,3,17,9200
101158454,3,9,9200
101158454,3,42,9200
101158454,3,29,9200
101158454,3,1,10000
101158454,3,46,10000
101158454,2,12,8700
101158454,2,12,8700
101158454,2,19,8700
101158454,2,41,8700
101158454,3,41,9000
101158454,3,29,9200
101158454,3,14,9200
101158454,3,22,9200
1014748,2,5,6400
1014748,3,22,6800
1014748,3,15,6800
1014748,3,12,6800
1014748,3,13,6800
1014748,3,3,6800
1014748,4,28,7100
1014748,2,26,6400
1014748,2,3,6400
1014748,2,27,6400
1014748,2,21,6400
1014748,2,28,6400
1014748,2,27,6400
1014748,2,11,6400
1014748,2,24,6400
1030987,2,17,5200
1030987,3,26,6100
1030987,3,20,6100
1030987,3,7,6200
1030987,4,27,6300
1030987,4,23,6300
1030987,4,32,6300
1030987,2,23,5900
1030987,2,1,5900
1030987,2,1,5900
1030987,2,37,5900
1030987,2,40,5900
1030987,2,38,5900
1030987,2,34,5900
1030987,3,10,6100
105869,4,16,2400
107148,2,25,3800
107148,3,27,4900
107148,2,52,5000
107148,2,6,5000
107148,2,20,5100
107148,2,4,5100
107148,3,53,5200
107148,2,43,4200
107148,2,14,4200
107148,2,12,4600
107148,2,27,4600
107148,2,4,4600
107148,2,8,4600
107148,2,30,4700
107148,3,46,4800
108334584,4,9,9000
111002610,2,28,6700
111002610,4,1,7300
111002610,4,4,7300
111002610,4,36,7300
111002610,4,35,7300
111002610,4,24,7300
111002610,4,9,7300
111002610,2,12,6700
111002610,2,18,6800
111002610,3,40,7000
111002610,3,19,7000
111002610,4,28,7300
111002610,4,47,7300
111002610,4,11,7300
111002610,4,17,7300
11152918,1,39,1000
11469103,3,9,5900
11469103,2,10,6100
11469103,2,35,6700
11469103,2,4,6700
11469103,3,28,7100
11469103,4,47,7300
116296,3,30,5700
116374006,2,26,6600
116374006,3,6,7000
116374006,3,54,7000
116374006,4,50,7200
116374006,4,17,7300
116374006,2,19,6700
116374006,2,25,6700
116374006,3,15,6900
116374006,3,49,6900
116374006,3,10,6900
116374006,3,30,6900
116374006,3,46,7000
116374006,3,37,7000
118305353,2,20,3700
118305353,3,39,3800
118305353,3,21,3900
118305353,3,30,3900
118305353,3,6,3900
118305353,3,11,4200
118305353,3,52,5100
118305353,3,27,5100
11836705,1,16,2400
11836705,2,30,6700
11836705,2,32,6700
11836705,3,42,7000
11836705,3,25,7000
11836705,3,30,7000
11836705,4,10,7300
11836705,2,27,3000
11836705,2,32,5600
11836705,2,15,5800
11836705,3,7,5900
11836705,4,39,6200
11836705,3,2,6300
11836705,2,13,6700
11836705,2,3,6700
11987484,2,2,8400
11987484,3,51,10400
11987484,3,19,10400
11987484,3,50,10500
11987484,3,4,10500
11987484,3,3,10500
11987484,3,46,10500
11987484,2,10,9200
11987484,2,23,9200
11987484,3,20,9700
11987484,2,4,10000
11987484,2,25,10000
11987484,2,1,10000
11987484,2,17,10100
11987484,3,14,10400
12113440,1,10,1200
12113440,4,54,6300
12113440,2,35,5600
12113440,2,27,5600
12113440,2,34,5800
12113440,2,10,6200
12113440,2,14,6200
12113440,2,51,6200
12113440,2,4,6200
12113440,2,7,6200
12451385,2,13,1500
12451385,2,16,5900
12451385,3,30,6300
12451385,2,5,6300
12451385,3,37,6600
124596419,2,32,6100
124596419,2,48,6400
124596419,2,19,6800
124596419,2,2,6900
124596419,2,43,6900
124596419,2,38,6900
124596419,3,10,7200
124596419,2,32,6100
124596419,2,43,6400
124596419,2,22,6400
124596419,2,42,6400
124596419,2,7,6400
124596419,2,20,6400
124596419,2,1,6400
124596419,2,1,6400
12543572,2,42,8200
12543572,3,44,8700
12543572,3,56,8700
12543572,3,42,8700
12543572,3,48,8700
12543572,2,6,8200
12543572,2,39,8300
12543572,2,3,8300
12543572,2,41,8300
12543572,2,3,8300
12543572,2,9,8300
12543572,2,37,8300
12543572,3,45,8700
127619634,3,27,15100
127619634,3,29,15800
127619634,3,54,15900
127619634,3,4,15900
127619634,3,52,15900
127619634,3,14,15900
127619634,4,30,16400
127619634,3,34,15100
127619634,3,35,15100
127619634,2,13,15100
127619634,2,9,15200
127619634,2,26,15200
127619634,2,8,15200
127619634,2,40,15200
127619634,2,2,15200
12798706,2,7,6300
12798706,3,11,7600
12798706,3,12,7600
12798706,3,4,7700
12798706,2,24,6300
12798706,2,11,7000
12798706,2,14,7200
12798706,2,7,7200
12798706,2,18,7200
12798706,2,48,7200
12798706,2,27,7200
12798706,2,36,7400
12988940,2,9,6700
12988940,2,22,6700
12988940,2,41,6700
12988940,2,36,6700
12988940,3,20,7100
12988940,3,32,7100
12988940,3,9,7100
12988940,2,31,6700
12988940,2,42,6700
12988940,2,42,6700
12988940,2,28,6700
