순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),source
322.0,국내도서,민병철 생활영어 1,54947,9788975121036,13740.0,민병철 지음,민병철스피킹웍스,1979-10-01,5500,4950,270점,177.0,외국어,2001년1월3주
767.0,국내도서,행복에의 초대,168173,9788932852218,93230.0,IVP(한국기독학생회출판부) 편집부 엮음,IVP,1979-12-01,2800,2660,20점,1960.0,종교/역학,2005년2월1주
449.0,국내도서,훈련으로 되는 제자,458277,9788937501791,,월터 A. 헨릭슨 지음,네비게이토,1980-12-01,4500,4050,220점,552.0,종교/역학,2005년2월1주
490.0,국내도서,전태일 평전,128759,9788971990650,,조영래 지음,돌베개,1983-06-01,6000,6000,60점,409.0,사회과학,2001년1월3주
300.0,국내도서,제자의 삶,131488,9788937502590,3230.0,프랜시스 M.코스그로브 지음,네비게이토,1984-07-01,12000,12000,360점,1110.0,종교/역학,2005년2월1주
377.0,국내도서,건강도인술,6225,9788935701285,,"하야시마 마사오 지음, 김종오 옮김",정신세계사,1986-05-01,12000,10800,600점,383.0,건강/취미,2002년8월3주
934.0,국내도서,이방인,116800,9788970131092,4860.0,"알베르 카뮈 지음, 김화영 옮김",책세상,1987-12-01,9000,8100,450점,4489.0,소설/시/희곡,2002년8월3주
101.0,국내도서,삼국지 제2권,193240,9788937400520,,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1175.0,소설/시/희곡,2001년1월3주
80.0,국내도서,삼국지 제10권,193241,9788937400605,4820.0,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1383.0,소설/시/희곡,2001년1월3주
783.0,국내도서,기독교는 믿을 만한가?,253018,9788932880389,90230.0,케네스 테일러 지음,IVP,1988-05-01,600,540,30점,207.0,종교/역학,2005년2월1주
102.0,국내도서,삼국지 제1권,72182,9788937400513,4820.0,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1125.0,소설/시/희곡,2001년1월3주
104.0,국내도서,삼국지 제3권,72183,9788937400537,,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1215.0,소설/시/희곡,2001년1월3주
83.0,국내도서,삼국지 제4권,72185,9788937400544,,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1262.0,소설/시/희곡,2001년1월3주
82.0,국내도서,삼국지 제5권,72187,9788937400551,,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1281.0,소설/시/희곡,2001년1월3주
76.0,국내도서,삼국지 제6권,72188,9788937400568,,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1327.0,소설/시/희곡,2001년1월3주
77.0,국내도서,삼국지 제7권,72189,9788937400575,,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1342.0,소설/시/희곡,2001년1월3주
69.0,국내도서,삼국지 제8권,72190,9788937400582,,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1365.0,소설/시/희곡,2001년1월3주
58.0,국내도서,삼국지 제9권,72191,9788937400599,,"나관중 원작, 이문열 평역",민음사,1988-05-01,7000,6300,350점,1390.0,소설/시/희곡,2001년1월3주
769.0,국내도서,기독교강요 -상,23073,9788904020034,94230.0,죤 칼빈 지음,생명의말씀사,1988-09-01,32000,28800,"1,600점",495.0,종교/역학,2001년1월3주
650.0,국내도서,태백산맥 8,190192,9788973370849,,조정래,해냄,1988-10-01,6800,6120,340점,402.0,소설/시/희곡,2001년1월3주
156.0,국내도서,일대일 제자양육 성경공부,120332,9788970081892,,두란노 편집부 지음,두란노,1988-12-01,6500,5850,320점,461.0,종교/역학,2001년1월3주
888.0,국내도서,그리스와 로마의 신화,20647,9788936905057,3210.0,"토마스 불핀치 지음, 이윤기 옮김",대원사,1989-03-01,6500,5850,320점,433.0,인문학,2001년1월3주
743.0,국내도서,심전도 속성 판독법,92054,,,한국심장질환연구소,고려의학,1989-05-01,12000,12000,360점,123.0,대학교재/전문서적,2002년8월3주
922.0,국내도서,입 속의 검은 잎,122785,9788932003979,2810,기형도 지음,문학과지성사,1989-05-30,12000,10800,600점,24086.0,소설/시/희곡,2021년6월1주
698.0,국내도서,태백산맥 9,190194,9788973370856,,조정래,해냄,1989-10-01,6800,6120,340점,380.0,소설/시/희곡,2001년1월3주
778.0,국내도서,태백산맥 10,190195,9788973370863,,조정래,해냄,1989-10-01,6800,6120,340점,383.0,소설/시/희곡,2001년1월3주
811.0,국내도서,철학의 기초이론,142276,9788973270354,3100.0,백산서당 편집부 엮음,백산서당,1990-06-01,6000,5700,180점,534.0,대학교재/전문서적,2005년2월1주
636.0,국내도서,내면 세계의 질서와 영적성장,221010,9788932820033,,고든 맥도날드 지음,IVP,1990-07-01,6000,5400,300점,412.0,종교/역학,2001년1월3주
