순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
1,국내도서,지박소년 하나코 군 9,243107393,9.79113E+12,,아이다이로 지음,루트미디어,20200629,"5,500","4,950",270점,3108,만화
2,국내도서,일곱 해의 마지막,242925601,9.78895E+12,3810,김연수 지음,문학동네,20200701,"13,500","12,150",670점,7829,소설/시/희곡
3,국내도서,최초의 신화 길가메쉬 서사시 (리커버 개정판),241467665,9.79116E+12,3910,김산해 지음,휴머니스트,20200601,"30,000","27,000","1,500점",11697,인문학
4,국내도서,돈의 속성,241916428,9.79119E+12,3320,김승호 지음,스노우폭스북스,20200615,"16,800","15,120",840점,15764,경제경영
5,국내도서,더 해빙,234004429,9.79119E+12,3320,이서윤.홍주연 지음,수오서재,20200301,"16,000","14,400",800점,25126,자기계발
6,국내도서,애쓰지 않고 편안하게,240541088,9.79113E+12,3810,김수현 지음,놀(다산북스),20200515,"15,000","13,500",750점,10948,에세이
7,국내도서,말하기를 말하기,242905138,9.78895E+12,3810,김하나 지음,콜라주,20200630,"13,000","11,700",650점,4301,에세이
8,국내도서,"파타고니아, 파도가 칠 때는 서핑을",238279310,9.789E+12,3320,"이본 쉬나드 지음, 이영래 옮김",라이팅하우스,20200430,"19,800","17,820",990점,11991,경제경영
9,국내도서,"시선으로부터,",241313700,9.78895E+12,3810,정세랑 지음,문학동네,20200605,"14,000","12,600",700점,37622,소설/시/희곡
10,국내도서,읽기만 하면 내 것이 되는 1페이지 한국사 365,242450209,9.7912E+12,4900,심용환 지음,비에이블,20200617,"16,500","14,850",820점,6059,청소년
11,국내도서,보통의 언어들,240886101,9.79119E+12,3810,김이나 지음,위즈덤하우스,20200527,"14,500","13,050",720점,13525,에세이
12,국내도서,화이트 호스,241918742,9.78895E+12,3810,강화길 지음,문학동네,20200612,"13,500","12,150",670점,5064,소설/시/희곡
13,국내도서,2020 제11회 젊은작가상 수상작품집,236899205,9.78895E+12,3810,강화길 외 지음,문학동네,20200408,"5,500","4,950",270점,16479,소설/시/희곡
14,국내도서,달 너머로 달리는 말,241479641,9.79119E+12,3810,김훈 지음,파람북,20200615,"14,000","12,600",700점,3368,소설/시/희곡
15,국내도서,기억 1 (특별판),240436684,9.78893E+12,4860,"베르나르 베르베르 지음, 전미연 옮김",열린책들,20200530,"14,800","13,320",740점,4570,소설/시/희곡
